Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
1 launch_application,23,1052,1046,1109,1206,1206,954,1206,0.000%,.27501,0.75,0.21
3 login,24,951,728,1462,1470,1484,410,1484,58.333%,.29845,0.54,0.28
6 flights,9,1663,1417,1564,3670,3670,1304,3670,0.000%,.11811,0.74,0.17
11 continue1,8,686,664,731,749,749,649,749,0.000%,.12871,0.34,0.11
12 continue1,8,703,694,741,778,778,657,778,0.000%,.12881,0.37,0.09
13 continue3,8,743,711,840,845,845,665,845,0.000%,.12851,0.35,0.11
15 home,8,1636,1447,2158,2450,2450,1319,2450,0.000%,.13198,0.39,0.16
18 logout,6,1053,1018,1108,1146,1146,986,1146,0.000%,.13673,0.37,0.12
TOTAL,94,1047,993,1448,1484,2450,410,3670,14.894%,1.10980,3.16,1.03
